fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
2003604,100265,NDB #,Foundation,"Mushroom, pioppini",3.5,100.0,g,"100 g",3.5
2003603,100264,NDB #,Foundation,"Mushroom, beech",2.18,100.0,g,"100 g",2.18
2003602,11993,NDB #,Foundation,"Mushroom, maitake",2.203125,100.0,g,"100 g",2.203125
2003601,11266,NDB #,Foundation,"Mushroom, crimini",3.09375,100.0,g,"100 g",3.09375
2003600,11950,NDB #,Foundation,"Mushroom, enoki",2.416875,100.0,g,"100 g",2.416875
2003599,100263,NDB #,Foundation,"Mushroom, king oyster",2.40625,100.0,g,"100 g",2.40625
2003598,11243,NDB #,Foundation,"Mushroom, portabella",2.75,100.0,g,"100 g",2.75
2003597,9206,NDB #,Foundation,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",0.8125,100.0,g,"100 g",0.8125
2003596,11540,NDB #,Foundation,"Tomato juice, with added ingredients, from concentrate, shelf stable",0.859375,100.0,g,"100 g",0.859375
2003595,100267,NDB #,Foundation,"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",0.5703125,100.0,g,"100 g",0.5703125
2003594,43382,NDB #,Foundation,"Cranberry juice, not fortified, from concentrate, shelf stable",0.0,100.0,g,"100 g",0.0
2003593,100266,NDB #,Foundation,"Grape juice, white, with added vitamin C, from concentrate, shelf stable",0.09375,100.0,g,"100 g",0.09375
2003592,9130,NDB #,Foundation,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",0.2578125,100.0,g,"100 g",0.2578125
2003591,9209,NDB #,Foundation,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",0.734375,100.0,g,"100 g",0.734375
2003590,9400,NDB #,Foundation,"Apple juice, with added vitamin C, from concentrate, shelf stable",0.0859375,100.0,g,"100 g",0.0859375
2003589,100270,NDB #,Foundation,"Flour, semolina, fine",13.33125,100.0,g,"100 g",13.33125
2003588,100269,NDB #,Foundation,"Flour, semolina, coarse and semi-coarse",11.73125,100.0,g,"100 g",11.73125
2003587,20140,NDB #,Foundation,"Flour, spelt, whole grain",14.475,100.0,g,"100 g",14.475
2003586,100268,NDB #,Foundation,"Flour, 00",11.4,100.0,g,"100 g",11.4
1999634,100261,NDB #,Foundation,"Tomato, roma",0.695625,100.0,g,"100 g",0.695625
1999633,11457,NDB #,Foundation,"Spinach, mature",2.90625,100.0,g,"100 g",2.90625
1999632,100260,NDB #,Foundation,"Spinach, baby",2.851875,100.0,g,"100 g",2.851875
1999631,14091,NDB #,Foundation,"Almond milk, unsweetened, plain, shelf stable",0.5546875,100.0,g,"100 g",0.5546875
1999630,16222,NDB #,Foundation,"Soy milk, unsweetened, plain, shelf stable",3.546875,100.0,g,"100 g",3.546875
1999629,11260,NDB #,Foundation,"Mushrooms, white button",2.890625,100.0,g,"100 g",2.890625
1999628,11238,NDB #,Foundation,"Mushrooms, shiitake",2.414375,100.0,g,"100 g",2.414375
1999627,11987,NDB #,Foundation,"Mushroom, oyster",2.89875,100.0,g,"100 g",2.89875
1999626,100259,NDB #,Foundation,"Mushroom, lion's mane",2.5,100.0,g,"100 g",2.5
1750343,9501,NDB #,Foundation,"Apples, honeycrisp, with skin, raw",0.1015625,100.0,g,"100 g",0.1015625
1750342,9502,NDB #,Foundation,"Apples, granny smith, with skin, raw",0.265625,100.0,g,"100 g",0.265625
1750341,9503,NDB #,Foundation,"Apples, gala, with skin, raw",0.1328125,100.0,g,"100 g",0.1328125
1750340,9504,NDB #,Foundation,"Apples, fuji, with skin, raw",0.1484375,100.0,g,"100 g",0.1484375
1750339,9500,NDB #,Foundation,"Apples, red delicious, with skin, raw",0.1875,100.0,g,"100 g",0.1875
1105314,9040,NDB #,Foundation,"Bananas, ripe and slightly ripe, raw",0.74,115.0,g,"1 Banana, Peeled",0.851
1105073,100254,NDB #,Foundation,"Bananas, overripe, raw",0.73,110.0,g,"1 Banana, Peeled",0.803
1104812,20090,NDB #,Foundation,"Flour, rice, brown",7.0,100.0,g,"100 g",7.0
1104913,100256,NDB #,Foundation,"Flour, pastry, unenriched, unbleached",8.75,100.0,g,"100 g",8.75
1104962,100255,NDB #,Foundation,"Onions, white, raw",0.89,100.0,g,"100 g",0.89
1104705,16117,NDB #,Foundation,"Flour, soy, defatted",51.1,100.0,g,"100 g",51.1
1104766,16115,NDB #,Foundation,"Flour, soy, full-fat",38.6,100.0,g,"100 g",38.6
1104647,11215,NDB #,Foundation,"Garlic, raw",6.62,100.0,g,"100 g",6.62
790646,100253,NDB #,Foundation,"Onions, yellow, raw",0.83,143.0,g,"1 Onion, Edible",1.19
790577,100252,NDB #,Foundation,"Onions, red, raw",0.94,197.0,g,"1 Onion, Edible",1.85
790214,20061,NDB #,Foundation,"Flour, rice, white, unenriched",6.94,100.0,g,"100 g",6.94
790146,20083,NDB #,Foundation,"Flour, bread, white, enriched, unbleached",14.3,100.0,g,"100 g",14.3
790276,100251,NDB #,Foundation,"Flour, corn, yellow, fine meal, enriched",6.2,100.0,g,"100 g",6.2
790085,20080,NDB #,Foundation,"Flour, whole wheat, unenriched",15.1,100.0,g,"100 g",15.1
789890,20081,NDB #,Foundation,"Flour, wheat, all-purpose, enriched, bleached",10.9,100.0,g,"100 g",10.9
790018,20481,NDB #,Foundation,"Flour, wheat, all-purpose, unenriched, unbleached",12.0,100.0,g,"100 g",12.0
789951,20581,NDB #,Foundation,"Flour, wheat, all-purpose, enriched, unbleached",13.1,100.0,g,"100 g",13.1
749420,10896,NDB #,Foundation,"Pork, cured, bacon, cooked, restaurant",40.9,6.3,g,"1 slice",2.58
748967,1123,NDB #,Foundation,"Eggs, Grade A, Large, egg whole",12.4,50.3,g,"1 egg, whole without shell",6.24
748236,1125,NDB #,Foundation,"Eggs, Grade A, Large, egg yolk",16.2,17.0,g,"1 egg, yolk",2.75
747997,1124,NDB #,Foundation,"Eggs, Grade A, Large, egg white",10.7,34.0,g,"1 egg, white",3.64
747693,11966,NDB #,Foundation,"Ketchup, restaurant",1.11,100.0,g,"100 g",1.11
747445,16515,NDB #,Foundation,"Beans, Dry, Pinto (0% moisture)",23.7,100.0,g,"100 g",23.7
