fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
2003592,9130,NDB #,Foundation,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",0.0,100.0,g,"100 g",0.0
2003591,9209,NDB #,Foundation,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",0.0,100.0,g,"100 g",0.0
2003594,43382,NDB #,Foundation,"Cranberry juice, not fortified, from concentrate, shelf stable",0.0,100.0,g,"100 g",0.0
2003593,100266,NDB #,Foundation,"Grape juice, white, with added vitamin C, from concentrate, shelf stable",0.0,100.0,g,"100 g",0.0
2003595,100267,NDB #,Foundation,"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",0.0,100.0,g,"100 g",0.0
2003596,11540,NDB #,Foundation,"Tomato juice, with added ingredients, from concentrate, shelf stable",0.0,100.0,g,"100 g",0.0
2003590,9400,NDB #,Foundation,"Apple juice, with added vitamin C, from concentrate, shelf stable",0.0,100.0,g,"100 g",0.0
2003597,9206,NDB #,Foundation,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",0.0,100.0,g,"100 g",0.0
1999634,100261,NDB #,Foundation,"Tomato, roma",0.0,100.0,g,"100 g",0.0
1999633,11457,NDB #,Foundation,"Spinach, mature",0.0,100.0,g,"100 g",0.0
1999632,100260,NDB #,Foundation,"Spinach, baby",0.0,100.0,g,"100 g",0.0
1105314,9040,NDB #,Foundation,"Bananas, ripe and slightly ripe, raw",12.3,115.0,g,"1 Banana, Peeled",14.1
1105073,100254,NDB #,Foundation,"Bananas, overripe, raw",9.7,110.0,g,"1 Banana, Peeled",10.7
1104647,11215,NDB #,Foundation,"Garlic, raw",10.0,100.0,g,"100 g",10.0
790646,100253,NDB #,Foundation,"Onions, yellow, raw",8.2,143.0,g,"1 Onion, Edible",11.7
790577,100252,NDB #,Foundation,"Onions, red, raw",8.1,197.0,g,"1 Onion, Edible",16.0
747447,11090,NDB #,Foundation,"Broccoli, raw",91.3,76.0,g,"1 cup, chopped",69.4
747448,9316,NDB #,Foundation,"Strawberries, raw",56.0,100.0,g,"100 g",56.0
746779,7954,NDB #,Foundation,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",19.2,18.6,g,"1 link",3.57
746774,36622,NDB #,Foundation,"Restaurant, Chinese, sweet and sour pork",2.3,41.8,g,"3 pieces",0.961
