fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
1999631,14091,NDB #,Foundation,"Almond milk, unsweetened, plain, shelf stable",0.0,100.0,g,"100 g",0.0
1999630,16222,NDB #,Foundation,"Soy milk, unsweetened, plain, shelf stable",0.0,100.0,g,"100 g",0.0
1750351,100258,NDB #,Foundation,"Oil, olive, extra light",0.0,100.0,g,"100 g",0.0
1750349,100262,NDB #,Foundation,"Oil, sunflower",0.0,100.0,g,"100 g",0.0
1750348,4042,NDB #,Foundation,"Oil, peanut",0.0,100.0,g,"100 g",0.0
1750350,4511,NDB #,Foundation,"Oil, safflower",0.0,100.0,g,"100 g",0.0
790508,1001,NDB #,Foundation,"Butter, stick, salted",0.0,100.0,g,"100 g",0.0
748366,4044,NDB #,Foundation,"Oil, soybean",12.2,91.3,g,"100 milliliter",11.1
748323,4518,NDB #,Foundation,"Oil, corn",22.6,91.3,g,"100 milliliter",20.6
748278,4582,NDB #,Foundation,"Oil, canola",17.3,90.9,g,"100 milliliter",15.7
748236,1125,NDB #,Foundation,"Eggs, Grade A, Large, egg yolk",5.64,17.0,g,"1 egg, yolk",0.959
747447,11090,NDB #,Foundation,"Broccoli, raw",0.15,76.0,g,"1 cup, chopped",0.114
746785,5666,NDB #,Foundation,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",0.18,155.0,g,"1 paired cooked w, crumbles",0.279
746782,1077,NDB #,Foundation,"Milk, whole, 3.25% milkfat, with added vitamin D",0.05,249.0,g,"1 cup",0.125
746781,100173,NDB #,Foundation,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",1.5,80.4,g,"1 link, medium",1.21
746781,100173,NDB #,Foundation,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",1.5,185.0,g,"1 cup, ground",2.78
746781,100173,NDB #,Foundation,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",1.5,186.0,g,"1 link, long",2.79
746783,7919,NDB #,Foundation,"Sausage, turkey, breakfast links, mild, raw",0.24,27.9,g,"1 link",0.067
746783,7919,NDB #,Foundation,"Sausage, turkey, breakfast links, mild, raw",0.24,450.0,g,"1 package",1.08
746780,7089,NDB #,Foundation,"Sausage, Italian, pork, mild, cooked, pan-fried",0.8,86.6,g,"1 link, medium",0.693
746777,6164,NDB #,Foundation,"Sauce, salsa, ready-to-serve",1.22,35.7,g,"2 tablespoon",0.436
746779,7954,NDB #,Foundation,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",0.33,18.6,g,"1 link",0.061
746778,1079,NDB #,Foundation,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",0.03,245.0,g,"1 cup",0.073
746776,1085,NDB #,Foundation,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",0.0,246.0,g,"1 cup",0.0
746772,1082,NDB #,Foundation,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",0.02,246.0,g,"1 cup",0.049
746774,36622,NDB #,Foundation,"Restaurant, Chinese, sweet and sour pork",0.89,41.8,g,"3 pieces",0.372
746774,36622,NDB #,Foundation,"Restaurant, Chinese, sweet and sour pork",0.89,611.0,g,"1 order",5.44
746764,11130,NDB #,Foundation,"Carrots, frozen, unprepared",0.69,100.0,g,"100 g",0.69
746769,11251,NDB #,Foundation,"Lettuce, cos or romaine, raw",0.14,581.0,g,"1 bunch",0.813
746766,1036,NDB #,Foundation,"Cheese, ricotta, whole milk",0.27,129.0,g,"0.5 cup",0.348
746766,1036,NDB #,Foundation,"Cheese, ricotta, whole milk",0.27,258.0,g,"1 cup",0.697
746766,1036,NDB #,Foundation,"Cheese, ricotta, whole milk",0.27,64.6,g,"0.2 cup",0.174
746768,9094,NDB #,Foundation,"Figs, dried, uncooked",0.36,149.0,g,"1 cup",0.536
746768,9094,NDB #,Foundation,"Figs, dried, uncooked",0.36,8.4,g,"1 each",0.03
746767,1040,NDB #,Foundation,"Cheese, swiss",0.6,10.9,g,"1 slice, thin",0.065
746767,1040,NDB #,Foundation,"Cheese, swiss",0.6,21.9,g,"1 slice, regular",0.131
746765,1227,NDB #,Foundation,"Cheese, dry white, queso seco",0.49,97.3,g,"1 cup, grated",0.477
746761,23359,NDB #,Foundation,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0 fat, select, raw",0.21,788.0,g,"1 roast, raw",1.66
746759,23385,NDB #,Foundation,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8 fat, choice, raw",0.25,284.0,g,"1 steak, raw",0.71
335240,18075,NDB #,Foundation,"Bread, whole-wheat, commercially prepared",2.82,32.1,g,"1 slice",0.905
334720,36408,NDB #,Foundation,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",0.36,126.0,g,"1 piece",0.454
334628,36412,NDB #,Foundation,"Restaurant, Latino, tamale, pork",0.53,142.0,g,"1 piece",0.753
333476,15066,NDB #,Foundation,"Fish, pollock, raw",0.49,177.0,g,"1 fillet",0.867
333374,15033,NDB #,Foundation,"Fish, haddock, raw",0.45,176.0,g,"1 fillet",0.792
333008,100192,NDB #,Foundation,"Cookies, oatmeal, soft, with raisins",2.69,27.0,g,"1 cookie",0.726
332791,9533,NDB #,Foundation,"Olives, green, Manzanilla, stuffed with pimiento",3.78,3.2,g,"1 olive",0.121
331960,5746,NDB #,Foundation,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",0.33,174.0,g,"1 piece",0.574
331897,5671,NDB #,Foundation,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",0.17,94.7,g,"1 drumstick, without skin",0.161
331897,5671,NDB #,Foundation,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",0.17,104.0,g,"1 drumstick, with skin",0.177
330458,4047,NDB #,Foundation,"Oil, coconut",0.11,11.6,g,"1 tablespoon, liquid oil",0.013
330137,1256,NDB #,Foundation,"Yogurt, Greek, plain, nonfat",0.01,156.0,g,"1 container",0.016
329370,1029,NDB #,Foundation,"Cheese, mozzarella, low moisture, part-skim",0.51,86.2,g,"1 cup",0.44
328841,1015,NDB #,Foundation,"Cheese, cottage, lowfat, 2% milkfat",0.08,220.0,g,"1 cup",0.176
328637,1009,NDB #,Foundation,"Cheese, cheddar",0.75,105.0,g,"1 cup",0.788
328637,1009,NDB #,Foundation,"Cheese, cheddar",0.75,17.0,g,"1 slice",0.128
327357,9191,NDB #,Foundation,"Nectarines, raw",0.61,143.0,g,"1 cup,  slices",0.872
327357,9191,NDB #,Foundation,"Nectarines, raw",0.61,140.0,g,"1 serving, NLEA",0.854
327357,9191,NDB #,Foundation,"Nectarines, raw",0.61,142.0,g,"1 each,  2-1/2 dia",0.866
327357,9191,NDB #,Foundation,"Nectarines, raw",0.61,156.0,g,"1 each, 2-3/4 dia",0.952
327357,9191,NDB #,Foundation,"Nectarines, raw",0.61,129.0,g,"1 each, 2-1/3 dia",0.787
327046,9148,NDB #,Foundation,"Kiwifruit, green, raw",1.3,100.0,g,"100 g",1.3
326698,2046,NDB #,Foundation,"Mustard, prepared, yellow",0.35,6.0,g,"1 teaspoon",0.021
326698,2046,NDB #,Foundation,"Mustard, prepared, yellow",0.35,249.0,g,"1 cup",0.872
326196,11236,NDB #,Foundation,"Kale, frozen, cooked, boiled, drained, without salt",1.61,118.0,g,"1 cup, cooked",1.9
325524,12537,NDB #,Foundation,"Seeds, sunflower seed kernels, dry roasted, with salt added",19.6,127.0,g,"1 cup",24.9
325287,9123,NDB #,Foundation,"Grapefruit juice, white, canned or bottled, unsweetened",0.22,257.0,g,"1 cup",0.565
325198,1042,NDB #,Foundation,"Cheese, pasteurized process, American, vitamin D fortified",0.79,20.6,g,"1 slice",0.163
325036,1032,NDB #,Foundation,"Cheese, parmesan, grated",0.51,7.6,g,"1 tablespoon",0.039
324860,16098,NDB #,Foundation,"Peanut butter, smooth style, with salt",9.11,32.0,g,"2 tablespoon",2.92
324860,16098,NDB #,Foundation,"Peanut butter, smooth style, with salt",9.11,258.0,g,"1 cup",23.5
324653,11937,NDB #,Foundation,"Pickles, cucumber, dill or kosher dill",0.12,40.4,g,"1 spear",0.048
324317,11296,NDB #,Foundation,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",0.57,20.2,g,"1 piece",0.115
323505,11233,NDB #,Foundation,"Kale, raw",0.66,20.6,g,"1 cup, pieces of ~1",0.136
323294,12563,NDB #,Foundation,"Nuts, almonds, dry roasted, with salt added",19.0,135.0,g,"1 cup, whole",25.6
323121,7022,NDB #,Foundation,"Frankfurter, beef, unheated",0.51,48.6,g,"1 piece",0.248
321360,100147,NDB #,Foundation,"Tomatoes, grape, raw",0.98,152.0,g,"1 cup",1.49
321360,100147,NDB #,Foundation,"Tomatoes, grape, raw",0.98,49.7,g,"5 tomatoes",0.487
321358,16158,NDB #,Foundation,"Hummus, commercial",1.74,33.9,g,"2 tablespoon",0.59
