fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
2003598,11243,NDB #,Foundation,"Mushroom, portabella",0.0,100.0,g,"100 g",0.0
2003587,20140,NDB #,Foundation,"Flour, spelt, whole grain",0.0,100.0,g,"100 g",0.0
2003592,9130,NDB #,Foundation,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",0.0,100.0,g,"100 g",0.0
2003586,100268,NDB #,Foundation,"Flour, 00",0.0,100.0,g,"100 g",0.0
2003590,9400,NDB #,Foundation,"Apple juice, with added vitamin C, from concentrate, shelf stable",0.0,100.0,g,"100 g",0.0
2003589,100270,NDB #,Foundation,"Flour, semolina, fine",0.0,100.0,g,"100 g",0.0
2003588,100269,NDB #,Foundation,"Flour, semolina, coarse and semi-coarse",0.0,100.0,g,"100 g",0.0
2003593,100266,NDB #,Foundation,"Grape juice, white, with added vitamin C, from concentrate, shelf stable",0.0,100.0,g,"100 g",0.0
2003596,11540,NDB #,Foundation,"Tomato juice, with added ingredients, from concentrate, shelf stable",0.0,100.0,g,"100 g",0.0
2003591,9209,NDB #,Foundation,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",0.0,100.0,g,"100 g",0.0
2003595,100267,NDB #,Foundation,"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",0.0,100.0,g,"100 g",0.0
2003601,11266,NDB #,Foundation,"Mushroom, crimini",0.0,100.0,g,"100 g",0.0
2003602,11993,NDB #,Foundation,"Mushroom, maitake",0.0,100.0,g,"100 g",0.0
2003597,9206,NDB #,Foundation,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",0.0,100.0,g,"100 g",0.0
2003604,100265,NDB #,Foundation,"Mushroom, pioppini",0.0,100.0,g,"100 g",0.0
2003600,11950,NDB #,Foundation,"Mushroom, enoki",0.0,100.0,g,"100 g",0.0
2003599,100263,NDB #,Foundation,"Mushroom, king oyster",0.0,100.0,g,"100 g",0.0
2003594,43382,NDB #,Foundation,"Cranberry juice, not fortified, from concentrate, shelf stable",0.0,100.0,g,"100 g",0.0
2003603,100264,NDB #,Foundation,"Mushroom, beech",0.0,100.0,g,"100 g",0.0
1999628,11238,NDB #,Foundation,"Mushrooms, shiitake",0.0,100.0,g,"100 g",0.0
1999634,100261,NDB #,Foundation,"Tomato, roma",0.0,100.0,g,"100 g",0.0
1999626,100259,NDB #,Foundation,"Mushroom, lion's mane",0.0,100.0,g,"100 g",0.0
1999632,100260,NDB #,Foundation,"Spinach, baby",0.0,100.0,g,"100 g",0.0
1999627,11987,NDB #,Foundation,"Mushroom, oyster",0.0,100.0,g,"100 g",0.0
1999633,11457,NDB #,Foundation,"Spinach, mature",0.0,100.0,g,"100 g",0.0
1999629,11260,NDB #,Foundation,"Mushrooms, white button",0.0,100.0,g,"100 g",0.0
1999630,16222,NDB #,Foundation,"Soy milk, unsweetened, plain, shelf stable",0.0,100.0,g,"100 g",0.0
1999631,14091,NDB #,Foundation,"Almond milk, unsweetened, plain, shelf stable",0.0,100.0,g,"100 g",0.0
1750340,9504,NDB #,Foundation,"Apples, fuji, with skin, raw",0.0,100.0,g,"100 g",0.0
1750341,9503,NDB #,Foundation,"Apples, gala, with skin, raw",0.0,100.0,g,"100 g",0.0
1750339,9500,NDB #,Foundation,"Apples, red delicious, with skin, raw",0.0,100.0,g,"100 g",0.0
1750342,9502,NDB #,Foundation,"Apples, granny smith, with skin, raw",0.0,100.0,g,"100 g",0.0
1750343,9501,NDB #,Foundation,"Apples, honeycrisp, with skin, raw",0.0,100.0,g,"100 g",0.0
1105314,9040,NDB #,Foundation,"Bananas, ripe and slightly ripe, raw",0.16,115.0,g,"1 Banana, Peeled",0.184
1104812,20090,NDB #,Foundation,"Flour, rice, brown",1.78,100.0,g,"100 g",1.78
1104962,100255,NDB #,Foundation,"Onions, white, raw",0.12,100.0,g,"100 g",0.12
1104913,100256,NDB #,Foundation,"Flour, pastry, unenriched, unbleached",0.74,100.0,g,"100 g",0.74
1104705,16117,NDB #,Foundation,"Flour, soy, defatted",4.44,100.0,g,"100 g",4.44
1104766,16115,NDB #,Foundation,"Flour, soy, full-fat",3.75,100.0,g,"100 g",3.75
790646,100253,NDB #,Foundation,"Onions, yellow, raw",0.2,143.0,g,"1 Onion, Edible",0.286
790508,1001,NDB #,Foundation,"Butter, stick, salted",0.07,100.0,g,"100 g",0.07
790577,100252,NDB #,Foundation,"Onions, red, raw",0.17,197.0,g,"1 Onion, Edible",0.335
790146,20083,NDB #,Foundation,"Flour, bread, white, enriched, unbleached",1.06,100.0,g,"100 g",1.06
790214,20061,NDB #,Foundation,"Flour, rice, white, unenriched",1.19,100.0,g,"100 g",1.19
790276,100251,NDB #,Foundation,"Flour, corn, yellow, fine meal, enriched",0.62,100.0,g,"100 g",0.62
789890,20081,NDB #,Foundation,"Flour, wheat, all-purpose, enriched, bleached",0.72,100.0,g,"100 g",0.72
790085,20080,NDB #,Foundation,"Flour, whole wheat, unenriched",3.24,100.0,g,"100 g",3.24
789951,20581,NDB #,Foundation,"Flour, wheat, all-purpose, enriched, unbleached",0.9,100.0,g,"100 g",0.9
790018,20481,NDB #,Foundation,"Flour, wheat, all-purpose, unenriched, unbleached",1.15,100.0,g,"100 g",1.15
789828,1145,NDB #,Foundation,"Butter, stick, unsalted",0.07,100.0,g,"100 g",0.07
749420,10896,NDB #,Foundation,"Pork, cured, bacon, cooked, restaurant",3.56,6.3,g,"1 slice",0.224
748967,1123,NDB #,Foundation,"Eggs, Grade A, Large, egg whole",1.24,50.3,g,"1 egg, whole without shell",0.624
747693,11966,NDB #,Foundation,"Ketchup, restaurant",0.16,100.0,g,"100 g",0.16
747434,16504,NDB #,Foundation,"Beans, Dry, Tan (0% moisture)",3.5,100.0,g,"100 g",3.5
747448,9316,NDB #,Foundation,"Strawberries, raw",0.18,100.0,g,"100 g",0.18
747433,16503,NDB #,Foundation,"Beans, Dry, Brown (0% moisture)",3.71,100.0,g,"100 g",3.71
747444,16514,NDB #,Foundation,"Beans, Dry, Black (0% moisture)",3.37,100.0,g,"100 g",3.37
747440,16510,NDB #,Foundation,"Beans, Dry, Dark Red Kidney (0% moisture)",3.29,100.0,g,"100 g",3.29
747442,16512,NDB #,Foundation,"Beans, Dry, Small White (0% moisture)",3.54,100.0,g,"100 g",3.54
747446,16516,NDB #,Foundation,"Beans, Dry, Great Northern (0% moisture)",3.45,100.0,g,"100 g",3.45
747447,11090,NDB #,Foundation,"Broccoli, raw",0.42,76.0,g,"1 cup, chopped",0.319
747436,16506,NDB #,Foundation,"Beans, Dry, Carioca (0% moisture)",3.36,100.0,g,"100 g",3.36
747432,16502,NDB #,Foundation,"Beans, Dry, Flor de Mayo (0% moisture)",3.42,100.0,g,"100 g",3.42
747443,16513,NDB #,Foundation,"Beans, Dry, Small Red (0% moisture)",3.23,100.0,g,"100 g",3.23
747437,16507,NDB #,Foundation,"Beans, Dry, Cranberry (0% moisture)",3.03,100.0,g,"100 g",3.03
747439,16509,NDB #,Foundation,"Beans, Dry, Pink (0% moisture)",3.26,100.0,g,"100 g",3.26
747438,16508,NDB #,Foundation,"Beans, Dry, Light Red Kidney (0% moisture)",3.5,100.0,g,"100 g",3.5
747445,16515,NDB #,Foundation,"Beans, Dry, Pinto (0% moisture)",3.43,100.0,g,"100 g",3.43
747441,16511,NDB #,Foundation,"Beans, Dry, Navy (0% moisture)",3.31,100.0,g,"100 g",3.31
747435,16505,NDB #,Foundation,"Beans, Dry, Light Tan (0% moisture)",3.23,100.0,g,"100 g",3.23
747430,16500,NDB #,Foundation,"Beans, Dry, Medium Red (0% moisture)",3.82,100.0,g,"100 g",3.82
747431,16501,NDB #,Foundation,"Beans, Dry, Red (0% moisture)",2.84,100.0,g,"100 g",2.84
747429,1062,NDB #,Foundation,"Cheese, American, restaurant",2.45,16.0,g,"1 slice",0.392
746952,7129,NDB #,Foundation,"Ham, sliced, restaurant",1.76,16.2,g,"1 slice",0.285
